"Horodateur","Votre genre","Votre Age ","Niveau académique","votre spécialité "," Avez-vous déjà effectué un stage   ","Êtes-vous actuellement en recherche d’emploi ?  ","Quelles sont les principales difficultés que vous rencontrez pour trouver un emploi ?  ","Dans quelle ville recherchez vous principalement un emploi ?  ","Selon vous, quelle compétence est la plus importante pour être recruté(e) ?","Pensez vous que votre formation vous a bien prépare au Marche de travail ?","Avez-vous déjà refusé une offre d’emploi ?","si oui pourquoi ?","Selon vous, quel est le salaire minimum que vous seriez prêt à accepter pour un tel emploi ? (en dh)"
"2025/05/01 11:48:44 PM UTC+1","Femme","[40;45[","Master","Psychologie clinique ","Oui","Je suis déjà en poste","Manque d’expérience;Peu d’offres","Marrakech ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","8000 dh"
"2025/05/01 11:50:01 PM UTC+1","Femme","[20;25[","Master","Physique et chimie","Non","Oui","Manque d’expérience","Agadir ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","5000dh"
"2025/05/01 11:52:33 PM UTC+1","Homme","> 45","Baccalauréat ","Science de la vie et de la terre","Oui","Non","Salaire faible","Casablanca ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","15000 "
"2025/05/01 11:52:34 PM UTC+1","Femme","[25;30[","licence","Mathématique","Oui","Oui","Manque d’expérience","Sale","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Raisons personnelles ou familiales","10000"
"2025/05/01 11:55:03 PM UTC+1","Femme","[20;25[","licence","Economie","Oui","Oui","Manque d’expérience","Kenitra","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","7000dh"
"2025/05/01 11:55:44 PM UTC+1","Femme","[20;25[","Master","Informatique et science des données","Oui","Non","Manque d’expérience","Kenitra","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","8000dh"
"2025/05/01 11:55:50 PM UTC+1","Homme","[30;35[","Master","Maritime","Oui","Non","Compétences non adaptées","Casa","Expériences ou stages","Moyennement","Oui","Absence de perspectives d’évolution","40000"
"2025/05/01 11:57:36 PM UTC+1","Homme","[25;30[","Master","Languages","Oui","Je suis déjà en poste","Manque d’expérience","Rabat/ casa blanca/ tanger","Expériences ou stages","Moyennement","Oui","Conditions de travail difficiles","12500 dh "
"2025/05/01 11:59:27 PM UTC+1","Femme","[20;25[","CRMEF","Mathématique","Oui","Je suis déjà en poste","Manque d’expérience","Rabat ou kenitra","Expériences ou stages","Moyennement","Non","","7000dh"
"2025/05/02 12:00:35 AM UTC+1","Femme","[20;25[","licence","Science mathematique informatique et applicatin ","Oui","Je suis déjà en poste","Manque d’expérience","Kenitra","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Raisons personnelles ou familiales","7000dh"
"2025/05/02 12:01:18 AM UTC+1","Femme","[30;35[","licence","sosciologie","Oui","Oui","Salaire faible","kenitra","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","6000"
"2025/05/02 12:04:38 AM UTC+1","Homme","[20;25[","Master","Mathématique","Non","Non","Compétences non adaptées","Rabat","Techniques","Moyennement","Non","","10000"
"2025/05/02 12:07:12 AM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Oui","Non","Manque d’expérience;Compétences non adaptées","Casablanca ","Techniques","Moyennement","Non","","8000"
"2025/05/02 12:08:07 AM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Non","Non","Compétences non adaptées","...","Expériences ou stages","Moyennement","Non","","8000"
"2025/05/02 12:08:39 AM UTC+1","Femme","[25;30[","Master","Sciences navales","Oui","Je suis déjà en poste","Manque d’expérience;Salaire faible","Casablanca ","les langues","Non","Oui","Raisons personnelles ou familiales","18000"
"2025/05/02 12:09:36 AM UTC+1","Femme","[20;25[","1 ère année cycle ingénieur en génie industriel","Genie industriel","Non","Non","Peu d’offres;Compétences non adaptées;Salaire faible","Kenitra , Rabat , Casablanca","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","8000 DH en tant que débutante"
"2025/05/02 12:17:59 AM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Non","Non","Peu d’offres","Casa","Techniques","Non","Non","","10000 dh"
"2025/05/02 12:17:59 AM UTC+1","Femme","[20;25[","licence","Mathématique","Oui","Oui","Manque d’expérience","Kenitra ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions salariales insuffisantes","10000dh"
"2025/05/02 12:20:09 AM UTC+1","Homme","[30;35[","licence","Science de la vie et de la terre","Oui","Je suis déjà en poste","Manque d’expérience","Casablanca","Techniques","Moyennement","Oui","Conditions salariales insuffisantes","8000dh "
"2025/05/02 12:21:20 AM UTC+1","Homme","[30;35[","CRMEF","Informatique et science des données","Oui","Je suis déjà en poste","Salaire faible","kenitra","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions salariales insuffisantes","4000"
"2025/05/02 12:23:39 AM UTC+1","Femme","[20;25[","CRMEF","Mathématique","Oui","Non","Manque d’expérience","Kenitra ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","7000"
"2025/05/02 12:23:59 AM UTC+1","Femme","[20;25[","Master","Informatique et science des données","Oui","Non","Manque d’expérience;Peu d’offres","Rabat","Expériences ou stages","Moyennement","Oui","Conditions de travail difficiles","10000"
"2025/05/02 12:24:04 AM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Oui","Oui","Manque d’expérience;Compétences non adaptées","Rabat, Casablanca ","Expériences ou stages","Moyennement","Oui","Raisons personnelles ou familiales","11000"
"2025/05/02 12:25:09 AM UTC+1","Femme","[20;25[","licence","Science de la vie et de la terre","Oui","Oui","Peu d’offres;","Rabat et salé","Techniques","Oui","Non","","3000"
"2025/05/02 12:27:10 AM UTC+1","Homme","[25;30[","licence","Mathématique","Oui","Non","Manque d’expérience","Safi","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions salariales insuffisantes","6000"
"2025/05/02 12:27:18 AM UTC+1","Femme","[20;25[","CRMEF","Mathématique","Non","Oui","Peu d’offres","Dakhla","Expériences ou stages","Moyennement","Non","","1400"
"2025/05/02 12:27:21 AM UTC+1","Femme","[25;30[","licence","Science de la vie et de la terre","Non","Oui","Manque d’expérience;Peu d’offres","Rabat ","Expériences ou stages","Moyennement","Non","","1500dh"
"2025/05/02 12:36:05 AM UTC+1","Homme","[25;30[","Master","Informatique et science des données","Oui","Oui","Peu d’offres","Casablanca ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Conditions de travail difficiles","8500"
"2025/05/02 12:37:30 AM UTC+1","Homme","[30;35[","Master","Maritime","Oui","Non","Salaire faible","Maroc","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Absence de perspectives d’évolution","80000"
"2025/05/02 12:47:51 AM UTC+1","Femme","[20;25[","CRMEF","Mathématique","Oui","Je suis déjà en poste","Salaire faible","Kénitra ","Expériences ou stages","Oui","Non","","8000 DH "
"2025/05/02 12:53:26 AM UTC+1","Femme","[20;25[","Master","Mathématique","Oui","Non","Salaire faible","Rabat","Techniques","Oui","Oui","Conditions salariales insuffisantes","3000dh"
"2025/05/02 1:14:35 AM UTC+1","Femme","[20;25[","Master","Mathématique","Oui","Non","Manque d’expérience","Rabat","Techniques","Moyennement","Non","","7000dh"
"2025/05/02 1:21:38 AM UTC+1","Femme","[20;25[","CRMEF","Mathématique","Oui","Je suis déjà en poste","Peu d’offres;Compétences non adaptées;Salaire faible","Tanger","Expériences ou stages","Oui","Non","","10000dh"
"2025/05/02 1:27:39 AM UTC+1","Homme","[25;30[","Master","Physique et chimie","Oui","Je suis déjà en poste","Peu d’offres;Salaire faible","Casablanca, Agadir, hors Maroc","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Conditions de travail difficiles","35000"
"2025/05/02 2:03:13 AM UTC+1","Homme","[20;25[","Master","Mathématique","Non","Oui","Manque d’expérience","Rabat ","Techniques","Non","Non","","3000"
"2025/05/02 2:07:57 AM UTC+1","Homme","[25;30[","Master","Mathématique","Oui","Je suis déjà en poste","La personnalité ","Rabat ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","7499"
"2025/05/02 2:49:27 AM UTC+1","Homme","[30;35[","Doctorat","Physique et chimie","Oui","Oui","Peu d’offres","Casablanca ","Techniques","Moyennement","Non",""," 8500"
"2025/05/02 5:57:02 AM UTC+1","Femme","[20;25[","licence","Finance ","Oui","Oui","Pas de piston","Marrakech/ Casa","Techniques","Non","Non","","1500"
"2025/05/02 7:35:51 AM UTC+1","Femme","[20;25[","Master","Mathématique","Oui","Non","Peu d’offres","Rabat ","Techniques","Moyennement","Oui","Conditions de travail difficiles","7000dh"
"2025/05/02 7:46:17 AM UTC+1","Homme","[20;25[","licence","Mathématique","Oui","Non","Peu d’offres","Kénitra","Expériences ou stages","Moyennement","Non","","3000dh"
"2025/05/02 8:26:50 AM UTC+1","Homme","> 45","Master","Maritime ","Oui","Non","Peu d’offres","Tanger ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Raisons personnelles ou familiales","40 000.00"
"2025/05/02 8:39:30 AM UTC+1","Femme","[40;45[","licence","Literature franchise ","Non","Je suis déjà en poste","Peu d’offres","Kenitra","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","10000"
"2025/05/02 8:48:48 AM UTC+1","Homme","[30;35[","Doctorat","Mathématique","Oui","Non","Salaire faible;","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions de travail difficiles","13000"
"2025/05/02 8:56:30 AM UTC+1","Homme","[25;30[","Master","Mathématique","Oui","Oui","Salaire faible","RABAT ","Expériences ou stages","Oui","Non","","8000"
"2025/05/02 9:03:29 AM UTC+1","Homme","[20;25[","Master","Mathématique","Oui","Non","Salaire faible","Rabat","Expériences ou stages","Moyennement","Non","","7500"
"2025/05/02 9:05:53 AM UTC+1","Femme","[30;35[","Back+  2","Droit","Oui","Oui","Salaire faible","Sidi sliman ","Expériences ou stages","Oui","Non","","4000dh"
"2025/05/02 9:09:51 AM UTC+1","Homme","[20;25[","CRMEF","Mathématique","Oui","Non","Manque d’expérience","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","5600"
"2025/05/02 9:15:50 AM UTC+1","Homme","> 45","licence","الادب العربي","Oui","Je suis déjà en poste","Salaire faible","الدار البيضاء","les langues","Non","Non","","10000"
"2025/05/02 9:44:40 AM UTC+1","Femme","[30;35[","licence","Mathématique","Non","Non","Manque d’expérience","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","6000"
"2025/05/02 9:52:27 AM UTC+1","Homme","[30;35[","Ingénieur d'état","Informatique et science des données","Oui","Je suis déjà en poste","Peu d’offres;Compétences non adaptées;Salaire faible"," ","Techniques","Oui","Oui","Raisons personnelles ou familiales","20000"
"2025/05/02 9:53:35 AM UTC+1","Homme","[25;30[","Master","journalisme","Oui","Je suis déjà en poste","Peu d’offres","rabat, casa","Expériences ou stages","Non","Oui","Absence de perspectives d’évolution","9000"
"2025/05/02 10:59:21 AM UTC+1","Homme","[25;30[","licence","Informatique et science des données","Oui","Oui","Manque d’expérience;Peu d’offres;Salaire faible","Rabat","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","13000"
"2025/05/02 11:37:07 AM UTC+1","Femme","[20;25[","Master","Mathématique","Non","Je suis déjà en poste","Manque d’expérience","Kénitra ","Expériences ou stages","Moyennement","Non","","7000"
"2025/05/02 11:52:41 AM UTC+1","Femme","[20;25[","Master","Mathématique","Non","Oui","Peu d’offres","casablanca","Techniques","Moyennement","Non","","5000"
"2025/05/02 12:00:06 PM UTC+1","Femme","[15;20[","licence","Informatique et science des données","Non","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées;Salaire faible","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","8000"
"2025/05/02 12:02:47 PM UTC+1","Femme","[15;20[","licence","Informatique et science des données","Non","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées;Salaire faible","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","8000"
"2025/05/02 12:11:20 PM UTC+1","Femme","[20;25[","licence","Informatique et science des données","Non","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées;Salaire faible","Rabat","Techniques","Non","Non","","8500-9500"
"2025/05/02 12:13:57 PM UTC+1","Homme","[20;25[","licence","Informatique et science des données","Oui","Oui","Salaire faible","Sale rabat","Techniques","Oui","Oui","Conditions salariales insuffisantes","5500"
"2025/05/02 12:42:42 PM UTC+1","Homme","[20;25[","licence","economie","Non","Oui","Peu d’offres","kenitra","Techniques","Moyennement","Oui","Ambiance ou réputation de l’emploi","7000"
"2025/05/02 1:26:41 PM UTC+1","Homme","[30;35[","Master","Traduction","Oui","Je suis déjà en poste","Peu d’offres","Kenitra / rabat ","Expériences ou stages","Moyennement","Non","","15000"
"2025/05/02 1:28:50 PM UTC+1","Femme","[20;25[","licence","Informatique et science des données","Non","Non","Manque d’expérience","Rabat","Techniques","Moyennement","Non","","10000dhs"
"2025/05/02 1:30:37 PM UTC+1","Homme","[25;30[","licence","marine engineering","Oui","Je suis déjà en poste","Peu d’offres","Casablanca","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","48000"
"2025/05/02 1:43:16 PM UTC+1","Femme","[30;35[","science economique et gestion","Sc. Économique ","Oui","Non","Peu d’offres;Salaire faible","Tanger","Expériences ou stages","Oui","Non","","5000dh"
"2025/05/02 1:46:56 PM UTC+1","Homme","> 45","Master","Marin","Oui","Non","Salaire faible;Manque stabilité ","Casablanca ","Être recommandé par un collègue ","Oui","Oui","Conditions de travail difficiles","20000dhs"
"2025/05/02 2:13:57 PM UTC+1","Homme","[25;30[","Master","economie","Oui","Je suis déjà en poste","Compétences non adaptées","casablanca","Techniques","Moyennement","Non","","8000"
"2025/05/02 2:25:10 PM UTC+1","Homme","[25;30[","licence","Science de la vie et de la terre","Oui","Je suis déjà en poste","Salaire faible","Rabat","Expériences ou stages","Moyennement","Oui","Conditions de travail difficiles","6000dh"
"2025/05/02 2:46:52 PM UTC+1","Homme","[15;20[","bac","Science de la vie et de la terre","Non","Non","Salaire faible","rabat","Expériences ou stages","Oui","Non","","10000"
"2025/05/02 2:50:56 PM UTC+1","Femme","[20;25[","Ingenieure","Agronomie","Oui","Non","Je ne recherche pas d’emploi","Casablanca ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","130000"
"2025/05/02 2:57:34 PM UTC+1","Femme","[25;30[","Master","Mathématique","Oui","Non","Salaire faible","Rabat","Expériences ou stages","Moyennement","Non","","7000"
"2025/05/02 2:58:26 PM UTC+1","Homme","[30;35[","Doctorat","Physique et chimie","Oui","Je suis déjà en poste","Peu d’offres","Kenitra","Expériences ou stages","Non","Oui","Conditions salariales insuffisantes","10000"
"2025/05/02 2:58:31 PM UTC+1","Femme","[15;20[","Bac","Physique et chimie","Non","Oui","Peu d’offres;Salaire faible","Rabat ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","8000"
"2025/05/02 3:01:23 PM UTC+1","Homme","[20;25[","Cycle d’ingénieurie","Agriculture ","Oui","Non","Peu d’offres;Salaire faible","Khenifra ","Expériences ou stages","Oui","Non","","10000"
"2025/05/02 3:01:46 PM UTC+1","Femme","[15;20[","Cycle d'ingénieurs ","Agronomie ","Non","Non","Manque d’expérience;Peu d’offres;Salaire faible","Fes","Techniques","Oui","Non","","12000"
"2025/05/02 3:04:41 PM UTC+1","Femme","[15;20[","licence","Mathématique","Non","Oui","Peu d’offres","Rabat ","Expériences ou stages","Moyennement","Non","","4500dh"
"2025/05/02 3:11:39 PM UTC+1","Homme","[25;30[","Doctorat","Mathématique","Non","Oui","Manque d’expérience","Tt","Expériences ou stages","Moyennement","Oui","Raisons personnelles ou familiales","10000dh"
"2025/05/02 3:13:14 PM UTC+1","Homme","[25;30[","Master","Physique et chimie","Oui","Je suis déjà en poste","Salaire faible","Rabat","Expériences ou stages","Moyennement","Non","","3000dh"
"2025/05/02 3:16:01 PM UTC+1","Femme","[40;45[","Diplome de CFE","Français","Oui","Je suis déjà en poste","Salaire faible","Rabat","Expériences ou stages","Moyennement","Non","","15000"
"2025/05/02 3:17:52 PM UTC+1","Homme","[20;25[","Master","Physique et chimie","Oui","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées","Rabat","Expériences ou stages","Oui","Non","","20000"
"2025/05/02 3:21:55 PM UTC+1","Homme","[15;20[","Cycle préparatoire ","Agronomie ","Non","Oui","Manque d’expérience;Compétences non adaptées","Agadir","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","7000"
"2025/05/02 3:32:28 PM UTC+1","Femme","[15;20[","prepa","Science de la vie et de la terre","Non","Oui","Compétences non adaptées","rabat","les langues","Oui","Non","","15 000"
"2025/05/02 3:39:33 PM UTC+1","Homme","[20;25[","licence","Physique et chimie","Non","Non","Manque d’expérience;Peu d’offres;Compétences non adaptées","Rabat temara casablanca","Techniques","Non","Non","","7000"
"2025/05/02 4:05:30 PM UTC+1","Homme","[40;45[","Doctorat","Mathématique","Oui","Non","Peu d’offres;Salaire faible","Rabat ","Expériences ou stages","Non","Non","","4000 "
"2025/05/02 4:11:00 PM UTC+1","Femme","[20;25[","Doctorat","Science de la vie et de la terre","Oui","Non","Peu d’offres;Salaire faible","Rabat","Expériences ou stages","Oui","Non","","20000"
"2025/05/02 4:11:48 PM UTC+1","Femme","[25;30[","Doctorat","Science de la vie et de la terre","Oui","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées;Salaire faible","Rabat ","Expériences ou stages","Moyennement","Oui","Manque d’adéquation avec le profil","12000"
"2025/05/02 4:12:38 PM UTC+1","Homme","[20;25[","Master","Mathématique","Non","Oui","Manque d’expérience","Rabat","Techniques","Moyennement","Non","","7000DH"
"2025/05/02 4:14:35 PM UTC+1","Femme","[20;25[","Master","Physique et chimie","Oui","Oui","Manque d’expérience;Compétences non adaptées","Rabat/salé/ sala eljadida ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","Pour un tel enploi et je suis encore étudiante je pense que 2000dh et hyper satisfaisantes par contre si je ne suis plus une étudiante et diplômée d'un master je pense que 7000 dh et le minimum"
"2025/05/02 4:18:18 PM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Oui","Non","Peu d’offres","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Manque d’adéquation avec le profil","12 000"
"2025/05/02 4:34:14 PM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Non","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées;Salaire faible","jdida","Expériences ou stages","Non","Non","","1500000"
"2025/05/02 4:34:33 PM UTC+1","Femme","[20;25[","Master","Physique et chimie","Oui","Oui","Peu d’offres;Salaire faible","Agadir ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Incohérence du contrat ou du statut","6000"
"2025/05/02 4:41:49 PM UTC+1","Homme","[20;25[","Master","Mathématique","Oui","Non","Compétences non adaptées","Marrakech","Techniques","Non","Oui","Conditions salariales insuffisantes","8000"
"2025/05/02 4:53:35 PM UTC+1","Femme","[20;25[","licence","Science de la vie et de la terre","Oui","Je suis déjà en poste","Salaire faible","Casablanca ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions salariales insuffisantes","8000"
"2025/05/02 4:54:13 PM UTC+1","Femme","[20;25[","Master","Logistique ","Oui","Je suis déjà en poste","Salaire faible","Casablanca ","Techniques","Moyennement","Oui","Conditions salariales insuffisantes","15000"
"2025/05/02 5:02:35 PM UTC+1","Homme","[20;25[","CRMEF","Physique et chimie","Non","Oui","Manque d’expérience;Peu d’offres","rabat","Techniques","Oui","Non","","15000"
"2025/05/02 5:16:02 PM UTC+1","Femme","[20;25[","licence","Physique et chimie","Non","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Non","Non","","4000 dh"
"2025/05/02 5:25:51 PM UTC+1","Femme","[20;25[","Master","Mathématique","Oui","Non","Manque d’expérience;Salaire faible","Rabat ","Expériences ou stages","Moyennement","Non","","4000 dh"
"2025/05/02 6:14:30 PM UTC+1","Femme","[30;35[","Doctorat","Physique et chimie","Oui","Oui","Manque d’expérience;Peu d’offres","Rabat","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","7000 "
"2025/05/02 8:10:26 PM UTC+1","Homme","[30;35[","licence","Mathématique","Non","Oui","Manque d’expérience;Peu d’offres","Casablanca","Expériences ou stages","Oui","Non","","3000"
"2025/05/02 9:09:27 PM UTC+1","Homme","[20;25[","CRMEF","Mathématique","Oui","Je suis déjà en poste","Peu d’offres;","TEMARA","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Désir de terminé les études ","8500"
"2025/05/02 9:33:15 PM UTC+1","Homme","[20;25[","Cycle d'ingénieur ","Informatique et science des données","Non","Non","Manque d’expérience;Compétences non adaptées","Casablanca ","Expériences ou stages","Moyennement","Non","","Tant qu'un jenieur data engineer 10000 dh"
"2025/05/02 9:33:20 PM UTC+1","Femme","[25;30[","CRMEF","Science de la vie et de la terre","Oui","Je suis déjà en poste","Peu d’offres","Meknes","Expériences ou stages","Oui","Non","","7000Dh"
"2025/05/02 9:33:56 PM UTC+1","Homme","[20;25[","Master","Mathématique","Oui","Oui","Manque d’expérience;Peu d’offres","casablanca","les langues","Moyennement","Non","","8000dh"
"2025/05/02 9:40:56 PM UTC+1","Homme","[20;25[","Master","Architecture ","Oui","Je suis déjà en poste","Compétences non adaptées;Salaire faible","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Non","Oui","Conditions salariales insuffisantes","3k mi-temps/ 5k temps plein"
"2025/05/02 9:43:38 PM UTC+1","Femme","[20;25[","CRMEF","Science de la vie et de la terre","Oui","Non","Manque d’expérience","al hoceima ","Expériences ou stages","Moyennement","Non","","7000 dh"
"2025/05/02 9:44:26 PM UTC+1","Homme","[20;25[","Ingénierie ","Cyber security ","Oui","Oui","Manque d’expérience;Peu d’offres","Rabat,  Casablanca ","les langues","Moyennement","Non","","10000"
"2025/05/02 9:53:07 PM UTC+1","Homme","[20;25[","CPGE","Mathématique","Non","Non","Salaire faible","Eljadida","Techniques","Non","Non","","12000"
"2025/05/02 9:55:12 PM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Non","Non","Peu d’offres","Rabat","Expériences ou stages","Non","Non","","10000 dh"
"2025/05/02 10:15:50 PM UTC+1","Homme","[20;25[","licence","Informatique et science des données","Non","Oui","Peu d’offres","Rabat ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Absence de perspectives d’évolution","10000"
"2025/05/02 10:34:16 PM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Oui","Non","Peu d’offres","Casablanca","Techniques","Moyennement","Oui","Raisons personnelles ou familiales","9000"
"2025/05/02 11:14:22 PM UTC+1","Homme","[20;25[","Ingénieur ","Mathématique","Oui","Oui","Peu d’offres","Casablanca ","Techniques","Moyennement","Non","","10000"
"2025/05/03 12:40:52 AM UTC+1","Homme","[20;25[","licence","Informatique et science des données","Oui","Non","Manque d’expérience","Casa","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","9000"
"2025/05/03 2:19:58 AM UTC+1","Homme","[15;20[","licence","Informatique et science des données","Non","Oui","Manque d’expérience","Temara ou bien rabat","Techniques","Non","Non","","Tant que je vis avec ma famille, je pense qu’un budget entre 1500 DH et 2000 DH est raisonnable pour moi"
"2025/05/03 2:36:21 AM UTC+1","Homme","[20;25[","Doctorat","Médecine ","Oui","Non","Peu d’offres;","Casablanca ","Techniques","Non","Non","","100000"
"2025/05/03 3:44:04 AM UTC+1","Homme","[25;30[","Master","Physique ","Non","Oui","Manque d’expérience","Rabat ","Techniques","Moyennement","Non","","5000"
"2025/05/03 12:14:54 PM UTC+1","Homme","[30;35[","licence","Science de la vie et de la terre","Non","Non","Manque d’expérience","Rabat ","Expériences ou stages","Moyennement","Non","","2500 DH"
"2025/05/03 12:55:56 PM UTC+1","Femme","[20;25[","licence","Science de la vie et de la terre","Oui","Oui","Manque d’expérience;Peu d’offres;Salaire faible","salé-rabat","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","5000"
"2025/05/03 1:03:53 PM UTC+1","Femme","[20;25[","licence","Science de la vie et de la terre","Non","Oui","Manque d’expérience;Salaire faible;","Rabat","Expériences ou stages","Moyennement","Non","","7000"
"2025/05/03 1:11:39 PM UTC+1","Homme","[20;25[","licence","Science de la vie et de la terre","Oui","Oui","Manque d’expérience","Rabat ","Expériences ou stages","Moyennement","Non","","5000 dh"
"2025/05/03 2:28:24 PM UTC+1","Homme","[15;20[","Master","Informatique et science des données","Oui","Non","Salaire faible","Paris ","Techniques","Moyennement","Oui","Raisons religieuses (banques)","20000dh"
